Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Decision Tree, total_payments, from_messages, , 0.74243, 0.07648, 0.07250, 0.07444, 0.07326
Decision Tree, total_payments, from_poi_ratio, , 0.76508, 0.21076, 0.19200, 0.20094, 0.19548
Decision Tree, total_payments, shared_receipt_poi_ratio, , 0.81164, 0.32394, 0.29300, 0.30769, 0.29871
Decision Tree, total_payments, to_poi_ratio, , 0.74846, 0.12647, 0.10750, 0.11622, 0.11082
Decision Tree, total_payments, bonus_salary_ratio, , 0.77562, 0.22950, 0.19450, 0.21055, 0.20062
Decision Tree, total_payments, exercised_stock_percent, , 0.74957, 0.10074, 0.09500, 0.09779, 0.09610
Decision Tree, total_payments, bonus_total_ratio, , 0.76285, 0.21575, 0.20550, 0.21050, 0.20747
Decision Tree, total_stock_value, exercised_stock_options, , 0.76815, 0.21802, 0.19600, 0.20642, 0.20004
Decision Tree, total_stock_value, bonus, , 0.79962, 0.36876, 0.42500, 0.39489, 0.41242
Decision Tree, total_stock_value, restricted_stock, , 0.75677, 0.13088, 0.10300, 0.11528, 0.10758
Decision Tree, total_stock_value, shared_receipt_with_poi, , 0.78507, 0.19219, 0.15750, 0.17312, 0.16340
Decision Tree, total_stock_value, to_messages, , 0.77843, 0.21480, 0.20750, 0.21109, 0.20892
Decision Tree, total_stock_value, from_messages, , 0.75507, 0.17389, 0.19050, 0.18182, 0.18693
Decision Tree, total_stock_value, from_poi_ratio, , 0.75892, 0.23204, 0.24550, 0.23858, 0.24268
Decision Tree, total_stock_value, shared_receipt_poi_ratio, , 0.79286, 0.28571, 0.30000, 0.29268, 0.29703
Decision Tree, total_stock_value, to_poi_ratio, , 0.77269, 0.22190, 0.19050, 0.20500, 0.19605
Decision Tree, total_stock_value, bonus_salary_ratio, , 0.79415, 0.32192, 0.30550, 0.31349, 0.30865
Decision Tree, total_stock_value, exercised_stock_percent, , 0.78169, 0.24357, 0.19900, 0.21904, 0.20656
Decision Tree, total_stock_value, bonus_total_ratio, , 0.75685, 0.20246, 0.19750, 0.19995, 0.19847
Decision Tree, exercised_stock_options, bonus, , 0.78562, 0.33998, 0.41800, 0.37497, 0.39966
Decision Tree, exercised_stock_options, restricted_stock, , 0.77554, 0.25376, 0.23650, 0.24482, 0.23976
Decision Tree, exercised_stock_options, shared_receipt_with_poi, , 0.81275, 0.42119, 0.33000, 0.37006, 0.34494
Decision Tree, exercised_stock_options, to_messages, , 0.81508, 0.44172, 0.41500, 0.42795, 0.42008
Decision Tree, exercised_stock_options, from_messages, , 0.75200, 0.24974, 0.24350, 0.24658, 0.24472
Decision Tree, exercised_stock_options, from_poi_ratio, , 0.80242, 0.39935, 0.36800, 0.38303, 0.37387
Decision Tree, exercised_stock_options, shared_receipt_poi_ratio, , 0.83217, 0.49631, 0.47100, 0.48332, 0.47585
Decision Tree, exercised_stock_options, to_poi_ratio, , 0.79000, 0.34223, 0.28200, 0.30921, 0.29229
Decision Tree, exercised_stock_options, bonus_salary_ratio, , 0.78546, 0.32190, 0.35650, 0.33832, 0.34900
Decision Tree, exercised_stock_options, exercised_stock_percent, , 0.84491, 0.25176, 0.35800, 0.29562, 0.33014
Decision Tree, exercised_stock_options, bonus_total_ratio, , 0.76377, 0.27697, 0.33250, 0.30220, 0.31968
Decision Tree, bonus, restricted_stock, , 0.75333, 0.25879, 0.25750, 0.25815, 0.25776
Decision Tree, bonus, shared_receipt_with_poi, , 0.75082, 0.25895, 0.19900, 0.22505, 0.20866
Decision Tree, bonus, to_messages, , 0.78809, 0.40548, 0.35500, 0.37857, 0.36407
Decision Tree, bonus, from_messages, , 0.74555, 0.25977, 0.21600, 0.23587, 0.22353
Decision Tree, bonus, from_poi_ratio, , 0.75020, 0.35473, 0.30400, 0.32741, 0.31295
Decision Tree, bonus, shared_receipt_poi_ratio, , 0.78873, 0.40690, 0.35400, 0.37861, 0.36345
Decision Tree, bonus, to_poi_ratio, , 0.77550, 0.43130, 0.38450, 0.40656, 0.39303
Decision Tree, bonus, bonus_salary_ratio, , 0.66044, 0.18307, 0.15250, 0.16639, 0.15777
Decision Tree, bonus, exercised_stock_percent, , 0.77750, 0.34505, 0.37300, 0.35848, 0.36705
Decision Tree, bonus, bonus_total_ratio, , 0.68767, 0.32081, 0.36300, 0.34061, 0.35370
Decision Tree, restricted_stock, shared_receipt_with_poi, , 0.72500, 0.16040, 0.15350, 0.15687, 0.15483
Decision Tree, restricted_stock, to_messages, , 0.74883, 0.23344, 0.22200, 0.22758, 0.22420
Decision Tree, restricted_stock, from_messages, , 0.72533, 0.10000, 0.08100, 0.08950, 0.08420
Decision Tree, restricted_stock, from_poi_ratio, , 0.78333, 0.33766, 0.31200, 0.32432, 0.31682
Decision Tree, restricted_stock, shared_receipt_poi_ratio, , 0.72592, 0.16624, 0.16050, 0.16332, 0.16162
Decision Tree, restricted_stock, to_poi_ratio, , 0.76925, 0.28091, 0.24650, 0.26258, 0.25269
Decision Tree, restricted_stock, bonus_salary_ratio, , 0.74708, 0.19790, 0.16950, 0.18260, 0.17451
Decision Tree, restricted_stock, exercised_stock_percent, , 0.75508, 0.10847, 0.08200, 0.09339, 0.08621
Decision Tree, restricted_stock, bonus_total_ratio, , 0.73050, 0.14376, 0.12450, 0.13344, 0.12793
Decision Tree, shared_receipt_with_poi, to_messages, , 0.78678, 0.19509, 0.29400, 0.23454, 0.26693
Decision Tree, shared_receipt_with_poi, from_messages, , 0.75111, 0.10459, 0.16400, 0.12773, 0.14727
Decision Tree, shared_receipt_with_poi, from_poi_ratio, , 0.81011, 0.22369, 0.28700, 0.25142, 0.27163
Decision Tree, shared_receipt_with_poi, shared_receipt_poi_ratio, , 0.81644, 0.24768, 0.32000, 0.27923, 0.30234
Decision Tree, shared_receipt_with_poi, to_poi_ratio, , 0.85189, 0.34218, 0.36100, 0.35134, 0.35707
Decision Tree, shared_receipt_with_poi, bonus_salary_ratio, , 0.75127, 0.28095, 0.23600, 0.25652, 0.24380
Decision Tree, shared_receipt_with_poi, exercised_stock_percent, , 0.80517, 0.37646, 0.25750, 0.30582, 0.27487
Decision Tree, shared_receipt_with_poi, bonus_total_ratio, , 0.75309, 0.27081, 0.21150, 0.23751, 0.22119
Decision Tree, to_messages, from_messages, , 0.74944, 0.10708, 0.17100, 0.13169, 0.15276
Decision Tree, to_messages, from_poi_ratio, , 0.79733, 0.23590, 0.36800, 0.28750, 0.33094
Decision Tree, to_messages, shared_receipt_poi_ratio, , 0.83856, 0.34105, 0.48600, 0.40082, 0.44793
Decision Tree, to_messages, to_poi_ratio, , 0.81389, 0.23776, 0.30600, 0.26760, 0.28939
Decision Tree, to_messages, bonus_salary_ratio, , 0.75436, 0.29181, 0.24600, 0.26696, 0.25397
Decision Tree, to_messages, exercised_stock_percent, , 0.78300, 0.29400, 0.21550, 0.24870, 0.22766
Decision Tree, to_messages, bonus_total_ratio, , 0.70500, 0.16478, 0.15300, 0.15867, 0.15522
Decision Tree, from_messages, from_poi_ratio, , 0.74456, 0.07354, 0.11200, 0.08878, 0.10139
Decision Tree, from_messages, shared_receipt_poi_ratio, , 0.76244, 0.12368, 0.18700, 0.14889, 0.16963
Decision Tree, from_messages, to_poi_ratio, , 0.78756, 0.16957, 0.23400, 0.19664, 0.21747
Decision Tree, from_messages, bonus_salary_ratio, , 0.78000, 0.37365, 0.31050, 0.33916, 0.32136
Decision Tree, from_messages, exercised_stock_percent, , 0.71692, 0.07068, 0.05750, 0.06341, 0.05973
Decision Tree, from_messages, bonus_total_ratio, , 0.76245, 0.30315, 0.23600, 0.26539, 0.24694
Decision Tree, from_poi_ratio, shared_receipt_poi_ratio, , 0.78600, 0.21665, 0.35400, 0.26879, 0.31416
Decision Tree, from_poi_ratio, to_poi_ratio, , 0.81812, 0.33668, 0.46900, 0.39198, 0.43482
Decision Tree, from_poi_ratio, bonus_salary_ratio, , 0.72230, 0.27107, 0.23000, 0.24885, 0.23719
Decision Tree, from_poi_ratio, exercised_stock_percent, , 0.78992, 0.35106, 0.30700, 0.32755, 0.31490
Decision Tree, from_poi_ratio, bonus_total_ratio, , 0.69200, 0.21875, 0.21000, 0.21429, 0.21169
Decision Tree, shared_receipt_poi_ratio, to_poi_ratio, , 0.80144, 0.19939, 0.26100, 0.22607, 0.24581
Decision Tree, shared_receipt_poi_ratio, bonus_salary_ratio, , 0.77818, 0.35696, 0.27450, 0.31034, 0.28780
Decision Tree, shared_receipt_poi_ratio, exercised_stock_percent, , 0.80983, 0.42043, 0.37250, 0.39502, 0.38119
Decision Tree, shared_receipt_poi_ratio, bonus_total_ratio, , 0.73909, 0.21344, 0.16200, 0.18420, 0.17020
Decision Tree, to_poi_ratio, bonus_salary_ratio, , 0.77550, 0.43410, 0.40350, 0.41824, 0.40927
